Unnamed: 0,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
962,"(0.30561408400535583, 0.3514300584793091, -0.00010097854828927666)","(0.24692785739898682, 0.34901291131973267, 0.04876771941781044)","(0.20700889825820923, 0.4115951657295227, 0.06431639194488525)","(0.19732177257537842, 0.48340028524398804, 0.07933592796325684)","(0.20768848061561584, 0.5304129719734192, 0.09052339196205139)","(0.18296635150909424, 0.4699890911579132, -0.044052604585886)","(0.16198992729187012, 0.5799433588981628, 1.5042814084154088e-05)","(0.1829255372285843, 0.5587575435638428, 0.05241784825921059)","(0.19691231846809387, 0.5209847092628479, 0.08350588381290436)","(0.21806113421916962, 0.5072830319404602, -0.05620565265417099)","(0.199222132563591, 0.6079795956611633, -0.008896141313016415)","(0.21739771962165833, 0.5775473117828369, 0.044005706906318665)","(0.22656181454658508, 0.5407366156578064, 0.06077621132135391)","(0.2562326192855835, 0.5340815782546997, -0.05699949711561203)","(0.2345573604106903, 0.6269839406013489, -0.010280990973114967)","(0.2468038648366928, 0.5941304564476013, 0.02987728640437126)","(0.25647178292274475, 0.5565515756607056, 0.035651400685310364)","(0.29413971304893494, 0.5513120293617249, -0.052603501826524734)","(0.26983803510665894, 0.6219200491905212, -0.022205885499715805)","(0.2748504877090454, 0.5909726619720459, 0.0001930553698912263)","(0.28316155076026917, 0.5595778822898865, 0.002779512433335185)",Move
963,"(0.3279109001159668, 0.32881075143814087, -8.229113882407546e-05)","(0.27044153213500977, 0.3254755735397339, 0.0370563343167305)","(0.23169994354248047, 0.38804322481155396, 0.04764855280518532)","(0.22259292006492615, 0.4545106291770935, 0.06170228496193886)","(0.23179715871810913, 0.4983369708061218, 0.07228659093379974)","(0.21920523047447205, 0.4383563995361328, -0.06085770204663277)","(0.19432419538497925, 0.5460264682769775, -0.023146217688918114)","(0.21213729679584503, 0.5160180926322937, 0.03322795405983925)","(0.22638855874538422, 0.4774693250656128, 0.06771824508905411)","(0.2544599771499634, 0.4708518385887146, -0.06846506893634796)","(0.22993183135986328, 0.5635204911231995, -0.02810291200876236)","(0.24622657895088196, 0.527513325214386, 0.030082037672400475)","(0.25721871852874756, 0.49120017886161804, 0.04954814538359642)","(0.2901517450809479, 0.4972427785396576, -0.06622453778982162)","(0.2611405849456787, 0.5783647894859314, -0.02031520940363407)","(0.27216291427612305, 0.5418869853019714, 0.024927109479904175)","(0.2842729985713959, 0.5057621598243713, 0.031343456357717514)","(0.324191153049469, 0.5174657106399536, -0.06007722020149231)","(0.29553037881851196, 0.5809699296951294, -0.02855752781033516)","(0.298977792263031, 0.5525630116462708, -0.003601358039304614)","(0.30790975689888, 0.526489794254303, -0.0002642582985572517)",Move
964,"(0.35081595182418823, 0.316942036151886, -8.052443445194513e-05)","(0.29327619075775146, 0.3173832297325134, 0.01433314848691225)","(0.25523650646209717, 0.369190514087677, 0.011222317814826965)","(0.2464713752269745, 0.42911434173583984, 0.017890524119138718)","(0.2548574209213257, 0.4649234712123871, 0.031376589089632034)","(0.2648833394050598, 0.4073738753795624, -0.08553266525268555)","(0.23402942717075348, 0.5137020945549011, -0.05580759048461914)","(0.2479894757270813, 0.47565948963165283, -0.0011934437789022923)","(0.2615625262260437, 0.44167059659957886, 0.030564801767468452)","(0.29911941289901733, 0.4354327619075775, -0.08733022212982178)","(0.2684256434440613, 0.5346420407295227, -0.058071382343769073)","(0.27837643027305603, 0.4946777820587158, -0.0027344701811671257)","(0.2898118793964386, 0.46131354570388794, 0.016354354098439217)","(0.3316522240638733, 0.4586077630519867, -0.08128757029771805)","(0.29918327927589417, 0.5415349006652832, -0.043785836547613144)","(0.3055399954319, 0.5028837323188782, -0.0016283881850540638)","(0.317247599363327, 0.4715835452079773, 0.0025236273650079966)","(0.3607126474380493, 0.47690582275390625, -0.07336930930614471)","(0.33476144075393677, 0.5402955412864685, -0.04795471206307411)","(0.3366319537162781, 0.5124480128288269, -0.02512662298977375)","(0.3458321690559387, 0.4901982545852661, -0.02382887713611126)",Move
965,"(0.3631135821342468, 0.34283962845802307, -8.887536387192085e-05)","(0.3101995289325714, 0.33537209033966064, -0.031087584793567657)","(0.2797790765762329, 0.3482368588447571, -0.05945563316345215)","(0.2721077501773834, 0.36804550886154175, -0.07163240015506744)","(0.2785733938217163, 0.38375842571258545, -0.06793275475502014)","(0.31330636143684387, 0.38495945930480957, -0.13226282596588135)","(0.28226810693740845, 0.4804340898990631, -0.12849898636341095)","(0.2917642891407013, 0.44655942916870117, -0.09081844240427017)","(0.30479007959365845, 0.41340017318725586, -0.0723920539021492)","(0.3460158407688141, 0.4142509698867798, -0.12305140495300293)","(0.31671175360679626, 0.5132685899734497, -0.13071897625923157)","(0.3235411047935486, 0.4777161180973053, -0.09431879967451096)","(0.336515873670578, 0.4390611946582794, -0.08106056600809097)","(0.3743644058704376, 0.4372718334197998, -0.10965816676616669)","(0.3444898724555969, 0.5252025723457336, -0.1069190502166748)","(0.35167720913887024, 0.48794835805892944, -0.07530870288610458)","(0.36361485719680786, 0.4507097899913788, -0.06984756886959076)","(0.3952019214630127, 0.45354515314102173, -0.1001986414194107)","(0.38043713569641113, 0.5157185196876526, -0.1029294803738594)","(0.382563054561615, 0.49571478366851807, -0.09422629326581955)","(0.3897693455219269, 0.47121497988700867, -0.09987236559391022)",Move
966,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
967,"(0.5270435810089111, 0.2004772126674652, -8.946782327257097e-05)","(0.46354007720947266, 0.2211177498102188, 0.01608944684267044)","(0.43230140209198, 0.29964637756347656, 0.022437985986471176)","(0.4261201322078705, 0.38044750690460205, 0.036812953650951385)","(0.4317808151245117, 0.430509090423584, 0.05398619547486305)","(0.4492884576320648, 0.3577696681022644, -0.07238588482141495)","(0.41697606444358826, 0.4630572497844696, -0.02976517379283905)","(0.41384243965148926, 0.4350297749042511, 0.02283945493400097)","(0.4224754273891449, 0.4059743285179138, 0.05632326006889343)","(0.48432207107543945, 0.38543152809143066, -0.06524495780467987)","(0.45064935088157654, 0.48534059524536133, -0.024166282266378403)","(0.4433518648147583, 0.45399799942970276, 0.024465549737215042)","(0.45118334889411926, 0.42445340752601624, 0.046748243272304535)","(0.5154377818107605, 0.3970533311367035, -0.04735729843378067)","(0.4824746549129486, 0.48696526885032654, -0.005220283754169941)","(0.473866730928421, 0.4539956748485565, 0.033695753663778305)","(0.48205751180648804, 0.4227728843688965, 0.046054914593696594)","(0.5412439107894897, 0.3957066833972931, -0.026618357747793198)","(0.5094866752624512, 0.46276891231536865, 0.012882214039564133)","(0.5017818808555603, 0.4366123378276825, 0.03926463797688484)","(0.5097677111625671, 0.4103509485721588, 0.050268422812223434)",Move
968,"(0.5780706405639648, 0.20357483625411987, -7.561960956081748e-05)","(0.5147613286972046, 0.2118241935968399, -0.01054830476641655)","(0.47098469734191895, 0.2615959048271179, -0.015799783170223236)","(0.44255563616752625, 0.304740846157074, -0.008933506906032562)","(0.4349864721298218, 0.3412230610847473, 0.006264485884457827)","(0.5004240274429321, 0.36367738246917725, -0.08214066177606583)","(0.47117114067077637, 0.46392691135406494, -0.05312775820493698)","(0.4571678936481476, 0.4524691104888916, -0.016992252320051193)","(0.45523208379745483, 0.42146915197372437, 0.003219572827219963)","(0.5351572036743164, 0.3931991457939148, -0.06475706398487091)","(0.5001745820045471, 0.4900907576084137, -0.037020303308963776)","(0.4840869605541229, 0.4734298288822174, -0.0021086824126541615)","(0.48102906346321106, 0.4417467415332794, 0.015891948714852333)","(0.5639744997024536, 0.40397295355796814, -0.040491983294487)","(0.530322790145874, 0.48947957158088684, -0.014457040466368198)","(0.5182138681411743, 0.4739402234554291, 0.012442541308701038)","(0.5170819163322449, 0.4461706280708313, 0.024190466850996017)","(0.585972785949707, 0.40380439162254333, -0.015037396922707558)","(0.5595025420188904, 0.47081059217453003, 0.00810240488499403)","(0.5502442717552185, 0.4592299461364746, 0.03351661562919617)","(0.5498623251914978, 0.4360434114933014, 0.05016881227493286)",Move
969,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
970,"(0.6898549795150757, 0.2771720886230469, -4.659021942643449e-05)","(0.6344394087791443, 0.3207774758338928, -0.019563596695661545)","(0.6103894114494324, 0.38823968172073364, -0.03177814930677414)","(0.6118423342704773, 0.4524080157279968, -0.023307284340262413)","(0.6284732222557068, 0.482499361038208, -0.008106403052806854)","(0.6418486833572388, 0.4316898286342621, -0.11792928725481033)","(0.6145884394645691, 0.5418350100517273, -0.09468183666467667)","(0.6037901639938354, 0.5076071619987488, -0.0573674701154232)","(0.608561635017395, 0.47463536262512207, -0.04403094947338104)","(0.677245557308197, 0.44967740774154663, -0.09526077657938004)","(0.6475871205329895, 0.5467618107795715, -0.07427018880844116)","(0.6334126591682434, 0.5124435424804688, -0.04593925550580025)","(0.6379473209381104, 0.4670983850955963, -0.042230699211359024)","(0.7037353515625, 0.45052433013916016, -0.061896033585071564)","(0.6754898428916931, 0.5360273122787476, -0.03576205298304558)","(0.6623249053955078, 0.5000308156013489, -0.02172752656042576)","(0.6671068668365479, 0.4546697735786438, -0.027918865904211998)","(0.7201053500175476, 0.4402512013912201, -0.02837308868765831)","(0.7030655145645142, 0.5062903165817261, -0.012598766013979912)","(0.6901308298110962, 0.4795210361480713, -0.008613654412329197)","(0.68953537940979, 0.446450799703598, -0.014068318530917168)",Move
971,"(0.7163476943969727, 0.25689905881881714, -7.274110248545185e-05)","(0.6712735891342163, 0.29588383436203003, -0.04121145233511925)","(0.6513746976852417, 0.3662258982658386, -0.05564330890774727)","(0.6480336785316467, 0.4401895999908447, -0.05164938047528267)","(0.6525421142578125, 0.5036534667015076, -0.04476351663470268)","(0.6947757005691528, 0.41192057728767395, -0.10321854054927826)","(0.6838182806968689, 0.5160454511642456, -0.09909099340438843)","(0.6563065052032471, 0.5381834506988525, -0.07376309484243393)","(0.6391909122467041, 0.5364682078361511, -0.053108714520931244)","(0.7207085490226746, 0.4261542856693268, -0.07311385124921799)","(0.7061647772789001, 0.5344658493995667, -0.0604884959757328)","(0.6775475740432739, 0.5442716479301453, -0.031002696603536606)","(0.662358820438385, 0.5282002091407776, -0.0136117497459054)","(0.7375684380531311, 0.4311334490776062, -0.0400366485118866)","(0.7236969470977783, 0.526890754699707, -0.03294696286320686)","(0.6996092200279236, 0.5344595909118652, -0.01305779442191124)","(0.6878032088279724, 0.5185290575027466, -1.7808912161854096e-05)","(0.7466928362846375, 0.428094744682312, -0.007348039653152227)","(0.7375911474227905, 0.5001057982444763, -0.0030826013535261154)","(0.7214512825012207, 0.5091261863708496, 0.0078938789665699)","(0.7114285230636597, 0.4967295527458191, 0.017314443364739418)",Move
